num,us,ms,count,enable,1k,Gx,Gy,Gz
266,26,-170,-72,-864,-114,5274,-269,98
267,26,-170,-71,-865,-114,5271,-269,99
268,26,-170,-71,-863,-113,5273,-268,97
269,26,-169,-71,-863,-114,5270,-269,98
270,26,-170,-71,-863,-113,5267,-269,98
271,27,-172,-72,-863,-114,5270,-270,98
272,27,-171,-72,-864,-115,5269,-268,97
273,27,-170,-72,-864,-114,5267,-269,98
274,27,-171,-72,-864,-114,5269,-269,97
275,27,-171,-72,-864,-113,5271,-270,98
276,27,-171,-71,-865,-115,5271,-269,97
277,27,-171,-72,-865,-115,5270,-268,98
278,27,-171,-72,-863,-114,5273,-268,97
279,27,-171,-73,-864,-114,5271,-268,97
280,27,-170,-72,-865,-114,5271,-268,96
281,28,-170,-73,-865,-114,5267,-267,98
282,28,-170,-72,-865,-115,5272,-269,97
283,28,-171,-72,-864,-114,5269,-268,96
284,28,-171,-72,-864,-114,5266,-268,96
285,28,-171,-72,-865,-115,5267,-267,97
286,28,-170,-72,-864,-114,5267,-270,96
287,28,-171,-71,-864,-113,5267,-267,97
288,28,-170,-73,-864,-114,5267,-268,96
289,28,-171,-71,-863,-114,5265,-266,97
290,28,-172,-73,-864,-114,5266,-269,97
291,29,-171,-71,-864,-114,5262,-267,96
292,29,-170,-72,-864,-114,5262,-268,98
293,29,-171,-72,-865,-115,5259,-268,95
294,29,-171,-72,-865,-114,5262,-269,96
295,29,-170,-72,-865,-115,5260,-270,95
296,29,-171,-72,-865,-115,5261,-269,96
297,29,-171,-73,-864,-114,5260,-270,95
298,29,-171,-72,-865,-115,5258,-269,95
299,29,-170,-72,-865,-114,5260,-270,96
300,29,-171,-73,-865,-114,5260,-267,96
301,30,-171,-72,-864,-111,5258,-264,96
302,30,-171,-72,-865,-112,5258,-267,96
303,30,-172,-73,-865,-114,5257,-264,96
304,30,-171,-72,-864,-113,5257,-266,97
305,30,-172,-73,-865,-114,5258,-266,95
306,30,-171,-72,-864,-113,5259,-265,96
307,30,-170,-72,-865,-112,5258,-266,97
308,30,-170,-72,-864,-112,5257,-267,96
309,30,-171,-72,-865,-110,5260,-266,96
310,30,-171,-72,-865,-112,5257,-267,97
311,31,-171,-72,-865,-111,5258,-266,96
312,31,-170,-72,-865,-110,5261,-267,95
313,31,-171,-72,-865,-111,5259,-266,96
314,31,-172,-72,-865,-112,5258,-265,96
315,31,-171,-74,-864,-112,5259,-263,96
316,31,-171,-73,-865,-110,5259,-265,96
317,31,-171,-72,-865,-111,5260,-267,95
318,31,-171,-72,-865,-111,5261,-265,96
319,31,-172,-73,-866,-111,5262,-264,96
320,31,-172,-72,-865,-111,5259,-265,96
321,32,-170,-72,-865,-109,5260,-263,95
322,32,-171,-73,-865,-111,5255,-267,95
323,32,-172,-73,-865,-110,5259,-265,96
324,32,-171,-73,-866,-109,5258,-265,97
325,32,-170,-72,-865,-110,5258,-267,97
326,32,-172,-73,-866,-110,5258,-266,96
327,32,-172,-73,-864,-109,5258,-266,95
328,32,-172,-73,-865,-109,5255,-265,96
329,32,-172,-73,-866,-110,5255,-266,96
330,32,-171,-72,-865,-109,5257,-265,96
331,33,-171,-73,-865,-109,5256,-266,97
332,33,-172,-72,-865,-108,5258,-265,97
333,33,-170,-73,-866,-108,5258,-264,97
334,33,-170,-73,-864,-109,5260,-263,96
335,33,-171,-72,-866,-108,5259,-265,98
336,33,-171,-73,-866,-107,5259,-264,97
337,33,-171,-73,-866,-108,5261,-263,95
338,33,-172,-72,-866,-109,5260,-263,95
339,33,-172,-72,-865,-109,5262,-264,96
340,33,-170,-72,-866,-107,5264,-263,96
341,34,-170,-72,-865,-109,5260,-263,95
342,34,-172,-73,-866,-108,5264,-262,96
343,34,-172,-73,-866,-108,5261,-264,95
344,34,-172,-73,-866,-107,5261,-264,95
345,34,-172,-73,-865,-108,5264,-263,96
346,34,-170,-73,-866,-109,5266,-262,95
347,34,-171,-72,-866,-108,5263,-263,95
348,34,-172,-72,-867,-108,5264,-261,96
349,34,-172,-72,-866,-109,5264,-263,94
350,34,-171,-73,-866,-109,5266,-260,96
351,35,-173,-74,-867,-108,5263,-262,93
352,35,-172,-74,-867,-108,5265,-264,96
353,35,-171,-73,-867,-109,5265,-264,95
354,35,-171,-73,-865,-109,5262,-263,97
355,35,-172,-72,-866,-109,5266,-262,94
356,35,-173,-74,-866,-108,5265,-263,95
357,35,-172,-74,-867,-107,5266,-263,95
358,35,-173,-74,-867,-108,5267,-262,96
359,35,-173,-74,-867,-109,5264,-263,96
360,35,-172,-74,-867,-108,5265,-262,94
361,36,-172,-72,-866,-109,5266,-261,93
362,36,-171,-72,-867,-110,5269,-262,92
363,36,-171,-73,-866,-110,5269,-260,94
364,36,-172,-74,-866,-109,5266,-262,94
365,36,-172,-73,-866,-110,5265,-262,94
366,36,-173,-74,-867,-109,5265,-262,94
367,36,-172,-75,-868,-108,5268,-261,93
368,36,-173,-74,-868,-109,5264,-264,94
369,36,-173,-74,-867,-109,5268,-262,94
370,36,-172,-74,-866,-108,5266,-263,94
371,37,-173,-74,-867,-108,5263,-262,93
372,37,-173,-73,-867,-110,5265,-262,94
373,37,-172,-73,-867,-110,5269,-261,94
374,37,-173,-73,-867,-108,5266,-262,93
375,37,-172,-72,-866,-109,5267,-262,94
376,37,-172,-73,-866,-109,5269,-263,95
377,37,-174,-73,-867,-110,5265,-263,93
378,37,-173,-73,-866,-110,5266,-263,93
379,37,-172,-72,-866,-107,5266,-262,94
380,37,-171,-73,-866,-109,5267,-262,94
381,38,-172,-72,-866,-109,5266,-261,93
382,38,-171,-72,-867,-110,5269,-262,92
383,38,-171,-73,-866,-110,5269,-260,94
384,38,-172,-72,-866,-112,5267,-263,92
385,38,-172,-73,-866,-110,5268,-261,93
386,38,-171,-72,-867,-110,5268,-262,94
387,38,-172,-73,-866,-112,5268,-263,93
